APK,TP,FP,FN,Precision,Recall,F1
allatori-ar.com.tristeslostrestigres.diasporanativewebapp.apk,6,0,0,1.0000,1.0000,1.0000
allatori-at.bitfire.cadroid.apk,1,0,0,1.0000,1.0000,1.0000
allatori-axp.tool.apkextractor.apk,6,0,0,1.0000,1.0000,1.0000
allatori-be.brunoparmentier.apkshare.apk,6,0,0,1.0000,1.0000,1.0000
allatori-be.digitalia.fosdem.apk,6,0,0,1.0000,1.0000,1.0000
allatori-ch.ihdg.calendarcolor.apk,1,0,0,1.0000,1.0000,1.0000
allatori-ch.logixisland.anuto.apk,2,0,0,1.0000,1.0000,1.0000
allatori-click.dummer.textthing.apk,6,0,0,1.0000,1.0000,1.0000
allatori-co.loubo.icicle.apk,4,0,0,1.0000,1.0000,1.0000
allatori-com.abcdjdj.rootverifier.apk,4,0,0,1.0000,1.0000,1.0000
allatori-com.adam.aslfms.apk,5,0,0,1.0000,1.0000,1.0000
allatori-com.aidinhut.simpletextcrypt.apk,6,0,0,1.0000,1.0000,1.0000
allatori-com.alexcruz.papuhwalls.apk,29,3,3,.9062,.9062,.9060
allatori-com.anddevw.getchromium.apk,9,0,0,1.0000,1.0000,1.0000
allatori-com.blanyal.remindly.apk,9,0,0,1.0000,1.0000,1.0000
allatori-com.bleyl.recurrence.apk,14,1,1,.9333,.9333,.9332
allatori-com.briankhuu.nfcmessageboard.apk,4,0,0,1.0000,1.0000,1.0000
allatori-com.catchingnow.tinyclipboardmanager.apk,6,0,0,1.0000,1.0000,1.0000
allatori-com.claha.showtimeremote.apk,4,0,0,1.0000,1.0000,1.0000
allatori-com.danielkim.soundrecorder.apk,9,0,0,1.0000,1.0000,1.0000
allatori-com.dimtion.shaarlier.apk,5,0,0,1.0000,1.0000,1.0000
allatori-com.dougkeen.bart.apk,15,0,0,1.0000,1.0000,1.0000
allatori-com.easwareapps.quoter.apk,9,0,0,1.0000,1.0000,1.0000
allatori-com.easwareapps.transparentwidget.apk,6,0,0,1.0000,1.0000,1.0000
allatori-com.easytarget.micopi.apk,9,0,0,1.0000,1.0000,1.0000
allatori-com.ebaschiera.triplecamel.apk,5,0,0,1.0000,1.0000,1.0000
allatori-com.eibriel.reddot.apk,4,0,0,1.0000,1.0000,1.0000
allatori-com.einmalfel.podlisten.apk,13,0,0,1.0000,1.0000,1.0000
allatori-com.evenement.encapsulation.apk,9,0,0,1.0000,1.0000,1.0000
