APK,TP,FP,FN,Precision,Recall,F1
be.knars.netflixtoimdb-R8-non.apk,38,0,0,1.000000,1.000000,1.000000
ch.logixisland.anuto-R8-non.apk,0,0,0,0,0,0
com.autismprime.fall-R8-non.apk,38,1,0,.974358,1.000000,.987012
by.yauhenl.gardine-R8-non.apk,41,11,0,.788461,1.000000,.881720
app.fedilab.openmaps-R8-non.apk,41,0,0,1.000000,1.000000,1.000000
com.amanoteam.unalix-R8-non.apk,54,4,0,.931034,1.000000,.964285
cityfreqs.com.pilfershushjammer-R8-non.apk,42,2,0,.954545,1.000000,.976743
click.dummer.textthing-R8-non.apk,12,3,1,.800000,.923076,.857141
cloud.valetudo.companion-R8-non.apk,45,1,0,.978260,1.000000,.989010
com.atr.hiit-R8-non.apk,32,1,0,.969696,1.000000,.984614
com.akshayaap.mouseremote-R8-non.apk,45,4,0,.918367,1.000000,.957446
at.mikenet.serbianlatintocyrillic-R8-non.apk,56,2,0,.965517,1.000000,.982456
cl.coders.faketraveler-R8-non.apk,26,0,0,1.000000,1.000000,1.000000
com.adgad.kboard-R8-non.apk,40,1,0,.975609,1.000000,.987653
be.digitalia.fosdem-R8-non.apk,82,4,0,.953488,1.000000,.976190
com.gunshippenguin.openflood-R8-non.apk,3,0,1,1.000000,.750000,.857142
com.agateau.catgenerator-R8-non.apk,33,3,0,.916666,1.000000,.956521
com.aidinhut.simpletextcrypt-R8-non.apk,24,0,0,1.000000,1.000000,1.000000
ch.seto.kanjirecog-R8-non.apk,24,0,0,1.000000,1.000000,1.000000
com.artifex.mupdf-R8-non.apk,24,0,0,1.000000,1.000000,1.000000
com.alovoa.alovoa-R8-non.apk,10,1,0,.909090,1.000000,.952380
com.benarmstead.simplecooking-R8-non.apk,42,0,2,1.000000,.954545,.976743
app.fedilab.mobilizon-R8-non.apk,46,1,0,.978723,1.000000,.989247
com.akdev.nofbeventscraper-R8-non.apk,53,3,0,.946428,1.000000,.972476
at.h4x.awhip-R8-non.apk,44,4,0,.916666,1.000000,.956521
agrigolo.chubbyclick-R8-non.apk,40,0,0,1.000000,1.000000,1.000000
android.jonas.fakestandby-R8-non.apk,43,4,0,.914893,1.000000,.955555
com.dimtion.shaarlier-R8-non.apk,32,3,6,.914285,.842105,.876710
com.adonai.manman-R8-non.apk,71,1,0,.986111,1.000000,.993006
ca.cmetcalfe.locationshare-R8-non.apk,52,4,0,.928571,1.000000,.962962
ca.andries.portknocker-R8-non.apk,63,0,0,1.000000,1.000000,1.000000
app.fedilab.nitterizemelite-R8-non.apk,41,0,0,1.000000,1.000000,1.000000
betterbatterystats_gplay_release_3.3.1-R8-non.apk,53,4,0,.929824,1.000000,.963636
com.evenement.encapsulation-R8-non.apk,8,0,1,1.000000,.888888,.941175
br.com.gualandi.dailypill-R8-non.apk,41,0,0,1.000000,1.000000,1.000000
app.weatheroverview-R8-non.apk,39,0,0,1.000000,1.000000,1.000000
com.anpmech.launcher-R8-non.apk,1,0,0,1.000000,1.000000,1.000000
com.abh80.smartedge-R8-non.apk,48,4,0,.923076,1.000000,.959999
com.danielkim.soundrecorder-R8-non.apk,9,0,0,1.000000,1.000000,1.000000
com.ebaschiera.triplecamel-R8-non.apk,38,2,0,.950000,1.000000,.974358
OVERALL,1474,68,11,.955901,.992592,.973900
