APK,TP,FP,FN,Precision,Recall,F1
be.knars.netflixtoimdb-R8-obf-shr-rcs.apk,20,3,18,.869565,.526315,.655736
ch.logixisland.anuto-R8-obf-shr-rcs.apk,0,1,0,0,0,0
com.autismprime.fall-R8-obf-shr-rcs.apk,17,8,21,.680000,.447368,.539681
by.yauhenl.gardine-R8-obf-shr-rcs.apk,20,4,21,.833333,.487804,.615383
app.fedilab.openmaps-R8-obf-shr-rcs.apk,24,3,17,.888888,.585365,.705880
com.amanoteam.unalix-R8-obf-shr-rcs.apk,25,6,29,.806451,.462962,.588234
cityfreqs.com.pilfershushjammer-R8-obf-shr-rcs.apk,22,8,20,.733333,.523809,.611109
click.dummer.textthing-R8-obf-shr-rcs.apk,5,5,8,.500000,.384615,.434781
cloud.valetudo.companion-R8-obf-shr-rcs.apk,18,6,27,.750000,.400000,.521739
com.atr.hiit-R8-obf-shr-rcs.apk,12,4,20,.750000,.375000,.500000
com.akshayaap.mouseremote-R8-obf-shr-rcs.apk,25,6,20,.806451,.555555,.657892
at.mikenet.serbianlatintocyrillic-R8-obf-shr-rcs.apk,19,5,37,.791666,.339285,.474998
cl.coders.faketraveler-R8-obf-shr-rcs.apk,17,3,9,.850000,.653846,.739130
com.adgad.kboard-R8-obf-shr-rcs.apk,12,4,28,.750000,.300000,.428571
be.digitalia.fosdem-R8-obf-shr-rcs.apk,40,11,42,.784313,.487804,.601502
com.gunshippenguin.openflood-R8-obf-shr-rcs.apk,3,2,1,.600000,.750000,.666666
com.agateau.catgenerator-R8-obf-shr-rcs.apk,17,5,16,.772727,.515151,.618181
com.aidinhut.simpletextcrypt-R8-obf-shr-rcs.apk,15,3,9,.833333,.625000,.714285
ch.seto.kanjirecog-R8-obf-shr-rcs.apk,16,4,8,.800000,.666666,.727271
com.artifex.mupdf-R8-obf-shr-rcs.apk,4,6,20,.400000,.166666,.235292
com.alovoa.alovoa-R8-obf-shr-rcs.apk,2,1,8,.666666,.200000,.307691
com.benarmstead.simplecooking-R8-obf-shr-rcs.apk,20,6,24,.769230,.454545,.571426
app.fedilab.mobilizon-R8-obf-shr-rcs.apk,30,6,16,.833333,.652173,.731706
com.akdev.nofbeventscraper-R8-obf-shr-rcs.apk,31,4,22,.885714,.584905,.704544
at.h4x.awhip-R8-obf-shr-rcs.apk,22,9,22,.709677,.500000,.586665
agrigolo.chubbyclick-R8-obf-shr-rcs.apk,21,4,19,.840000,.525000,.646153
android.jonas.fakestandby-R8-obf-shr-rcs.apk,25,9,18,.735294,.581395,.649349
com.dimtion.shaarlier-R8-obf-shr-rcs.apk,12,8,26,.600000,.315789,.413791
com.adonai.manman-R8-obf-shr-rcs.apk,31,9,40,.775000,.436619,.558556
ca.cmetcalfe.locationshare-R8-obf-shr-rcs.apk,20,8,32,.714285,.384615,.499998
ca.andries.portknocker-R8-obf-shr-rcs.apk,25,5,38,.833333,.396825,.537633
app.fedilab.nitterizemelite-R8-obf-shr-rcs.apk,23,5,18,.821428,.560975,.666665
betterbatterystats_gplay_release_3.3.1-R8-obf-shr-rcs.apk,24,10,29,.705882,.452830,.551722
com.evenement.encapsulation-R8-obf-shr-rcs.apk,7,3,2,.700000,.777777,.736840
br.com.gualandi.dailypill-R8-obf-shr-rcs.apk,18,4,23,.818181,.439024,.571427
app.weatheroverview-R8-obf-shr-rcs.apk,19,3,20,.863636,.487179,.622949
com.anpmech.launcher-R8-obf-shr-rcs.apk,0,0,1,0,0,0
com.abh80.smartedge-R8-obf-shr-rcs.apk,17,9,31,.653846,.354166,.459458
com.danielkim.soundrecorder-R8-obf-shr-rcs.apk,7,2,2,.777777,.777777,.777776
com.ebaschiera.triplecamel-R8-obf-shr-rcs.apk,20,5,18,.800000,.526315,.634920
OVERALL,705,207,780,.773026,.474747,.588233
