APK,TP,FP,FN,Precision,Recall,F1
be.knars.netflixtoimdb-R8-obf-shr-opt.apk,18,8,20,.692307,.473684,.562498
ch.logixisland.anuto-R8-obf-shr-opt.apk,0,1,0,0,0,0
com.autismprime.fall-R8-obf-shr-opt.apk,18,10,20,.642857,.473684,.545454
by.yauhenl.gardine-R8-obf-shr-opt.apk,15,8,26,.652173,.365853,.468748
app.fedilab.openmaps-R8-obf-shr-opt.apk,21,9,20,.700000,.512195,.591548
com.amanoteam.unalix-R8-obf-shr-opt.apk,22,11,32,.666666,.407407,.505745
cityfreqs.com.pilfershushjammer-R8-obf-shr-opt.apk,22,10,20,.687500,.523809,.594593
click.dummer.textthing-R8-obf-shr-opt.apk,7,8,6,.466666,.538461,.499998
cloud.valetudo.companion-R8-obf-shr-opt.apk,19,8,26,.703703,.422222,.527775
com.atr.hiit-R8-obf-shr-opt.apk,9,7,23,.562500,.281250,.374999
com.akshayaap.mouseremote-R8-obf-shr-opt.apk,21,10,24,.677419,.466666,.552630
at.mikenet.serbianlatintocyrillic-R8-obf-shr-opt.apk,21,9,35,.700000,.375000,.488372
cl.coders.faketraveler-R8-obf-shr-opt.apk,13,5,13,.722222,.500000,.590909
com.adgad.kboard-R8-obf-shr-opt.apk,11,7,29,.611111,.275000,.379309
be.digitalia.fosdem-R8-obf-shr-opt.apk,34,17,48,.666666,.414634,.511277
com.gunshippenguin.openflood-R8-obf-shr-opt.apk,1,4,3,.200000,.250000,.222222
com.agateau.catgenerator-R8-obf-shr-opt.apk,16,8,17,.666666,.484848,.561401
com.aidinhut.simpletextcrypt-R8-obf-shr-opt.apk,11,4,13,.733333,.458333,.564101
ch.seto.kanjirecog-R8-obf-shr-opt.apk,12,4,12,.750000,.500000,.600000
com.artifex.mupdf-R8-obf-shr-opt.apk,6,6,18,.500000,.250000,.333333
com.alovoa.alovoa-R8-obf-shr-opt.apk,2,1,8,.666666,.200000,.307691
com.benarmstead.simplecooking-R8-obf-shr-opt.apk,20,8,24,.714285,.454545,.555553
app.fedilab.mobilizon-R8-obf-shr-opt.apk,26,12,20,.684210,.565217,.619046
com.akdev.nofbeventscraper-R8-obf-shr-opt.apk,30,9,23,.769230,.566037,.652172
at.h4x.awhip-R8-obf-shr-opt.apk,23,9,21,.718750,.522727,.605262
agrigolo.chubbyclick-R8-obf-shr-opt.apk,18,10,22,.642857,.450000,.529410
android.jonas.fakestandby-R8-obf-shr-opt.apk,26,13,17,.666666,.604651,.634145
com.dimtion.shaarlier-R8-obf-shr-opt.apk,9,10,29,.473684,.236842,.315788
com.adonai.manman-R8-obf-shr-opt.apk,35,11,36,.760869,.492957,.598288
ca.cmetcalfe.locationshare-R8-obf-shr-opt.apk,21,10,31,.677419,.403846,.506022
ca.andries.portknocker-R8-obf-shr-opt.apk,24,11,39,.685714,.380952,.489795
app.fedilab.nitterizemelite-R8-obf-shr-opt.apk,20,10,21,.666666,.487804,.563378
betterbatterystats_gplay_release_3.3.1-R8-obf-shr-opt.apk,25,13,28,.657894,.471698,.549449
com.evenement.encapsulation-R8-obf-shr-opt.apk,6,7,3,.461538,.666666,.545452
br.com.gualandi.dailypill-R8-obf-shr-opt.apk,16,5,25,.761904,.390243,.516126
app.weatheroverview-R8-obf-shr-opt.apk,12,8,27,.600000,.307692,.406778
com.anpmech.launcher-R8-obf-shr-opt.apk,0,0,1,0,0,0
com.abh80.smartedge-R8-obf-shr-opt.apk,18,11,30,.620689,.375000,.467531
com.danielkim.soundrecorder-R8-obf-shr-opt.apk,5,5,4,.500000,.555555,.526314
com.ebaschiera.triplecamel-R8-obf-shr-opt.apk,15,6,23,.714285,.394736,.508473
OVERALL,648,323,837,.667353,.436363,.527686
