original_filename,tpl_name,version
adcolony-4.1.4.jar,adcolony,4.1.4
adcolony-4.5.0.jar,adcolony,4.5.0
adcolony-4.8.0.jar,adcolony,4.8.0
adjust-4.24.1.jar,adjust,4.24.1
adjust-4.28.2.jar,adjust,4.28.2
adjust-4.33.0.jar,adjust,4.33.0
adjust-4.33.5.jar,adjust,4.33.5
adjust-5.0.1.jar,adjust,5.0.1
adjust-5.1.0.jar,adjust,5.1.0
adjust-5.5.1.jar,adjust,5.5.1
amazon-ads-11.1.1.jar,amazon-ads,11.1.1
amazon-ads-11.1.2.jar,amazon-ads,11.1.2
amazon-ads-9.10.3.jar,amazon-ads,9.10.3
amazon-ads-9.2.2.jar,amazon-ads,9.2.2
amazon-ads-9.6.2.jar,amazon-ads,9.6.2
amazon-ads-9.8.8.jar,amazon-ads,9.8.8
applovin-10.3.3.jar,applovin,10.3.3
applovin-11.5.3.jar,applovin,11.5.3
applovin-12.1.0.jar,applovin,12.1.0
applovin-12.5.0.jar,applovin,12.5.0
applovin-13.1.0.jar,applovin,13.1.0
applovin-13.6.0.jar,applovin,13.6.0
appsflyer-5.4.0.jar,appsflyer,5.4.0
appsflyer-6.12.2.jar,appsflyer,6.12.2
appsflyer-6.13.0.jar,appsflyer,6.13.0
AppsFlyer-6.17.0.jar,appsflyer,6.17.0
appsflyer-6.3.2.jar,appsflyer,6.3.2
appsflyer-6.9.4.jar,appsflyer,6.9.4
charboost-8.1.0.jar,charboost,8.1.0
charboost-8.4.3.jar,charboost,8.4.3
charboost-9.5.0.jar,charboost,9.5.0
charboost-9.7.0.jar,charboost,9.7.0
charboost-9.8.3.jar,charboost,9.8.3
facebook_analytics-11.2.0.jar,facebook_analytics,11.2.0
facebook_analytics-12.3.0.jar,facebook_analytics,12.3.0
facebook_analytics-16.2.0.jar,facebook_analytics,16.2.0
facebook_analytics-17.0.0.jar,facebook_analytics,17.0.0
facebook_analytics-18.1.3.jar,facebook_analytics,18.1.3
facebook_analytics-7.1.0.jar,facebook_analytics,7.1.0
facebook_analytics-7.0.1.jar,facebook_analytics,7.0.1
facebook_login-11.2.0.jar,facebook_login,11.2.0
facebook_login-14.0.0.jar,facebook_login,14.0.0
facebook_login-16.2.0.jar,facebook_login,16.2.0
facebook_login-17.0.2.jar,facebook_login,17.0.2
facebook_login-18.1.3.jar,facebook_login,18.1.3
facebook_login-7.1.0.jar,facebook_login,7.1.0
facebook_places-7.1.0.jar,facebook_places,7.1.0
facebook_share-12.0.0.jar,facebook_share,12.0.0
facebook_share-13.2.0.jar,facebook_share,13.2.0
facebook_share-16.2.0.jar,facebook_share,16.2.0
facebook_share-17.0.0.jar,facebook_share,17.0.0
facebook_share-18.0.1.jar,facebook_share,18.0.1
facebook_share-8.2.0.jar,facebook_share,8.2.0
facebook-sdk-14.1.0.jar,facebook-sdk,14.1.0
facebook-sdk-16.0.0.jar,facebook-sdk,16.0.0
facebook-sdk-17.0.1.jar,facebook-sdk,17.0.1
facebook-sdk-18.1.3.jar,facebook-sdk,18.1.3
facebook-sdk-7.1.0.jar,facebook-sdk,7.1.0
facebook-sdk-9.1.0.jar,facebook-sdk,9.1.0
flurry-12.13.0.jar,flurry,12.13.0
flurry-12.1.0.jar,flurry,12.1.0
flurry-13.2.0.jar,flurry,13.2.0
flurry-14.4.0.jar,flurry,14.4.0
flurry-1.0.jar,flurry,1
Fyber-8.0.0.jar,Fyber,8.0.0
Fyber-8.1.3.jar,Fyber,8.1.3
Fyber-8.2.3.jar,Fyber,8.2.3
Fyber-8.2.6.jar,Fyber,8.2.6
Fyber-8.3.6.jar,Fyber,8.3.6
Fyber-8.4.3.jar,Fyber,8.4.3
google_admob-18.0.0.jar,google_admob,18.0.0
google_admob-26.0.0.jar,google_admob,26.0.0
google_admob-33.0.0.jar,google_admob,33.0.0
google_admob-38.0.0.jar,google_admob,38.0.0
google_admob-42.0.0.jar,google_admob,42.0.0
google_admob-5.0.0.jar,google_admob,5.0.0
google_admob-19.5.0.jar,google_admob,19.5.0
google_admob-20.1.0.jar,google_admob,20.1.0
google_admob-20.6.0.jar,google_admob,20.6.0
