original_filename,tpl_name,version
android.arch.core.runtime-1.1.1.jar,android.arch.core.runtime,1.1.1
android.arch.lifecycle.common-1.0.0.jar,android.arch.lifecycle.common,1.0.0
android.arch.lifecycle.common-1.1.1.jar,android.arch.lifecycle.common,1.1.1
android.arch.lifecycle.extensions-1.1.1.jar,android.arch.lifecycle.extensions,1.1.1
android.arch.lifecycle.livedata-1.1.1.jar,android.arch.lifecycle.livedata,1.1.1
android.arch.lifecycle.livedata-core-1.1.1.jar,android.arch.lifecycle.livedata-core,1.1.1
android.arch.lifecycle.runtime-1.0.0.jar,android.arch.lifecycle.runtime,1.0.0
android.arch.lifecycle.runtime-1.1.1.jar,android.arch.lifecycle.runtime,1.1.1
android.arch.lifecycle.viewmodel-1.1.1.jar,android.arch.lifecycle.viewmodel,1.1.1
androidx.activity.activity-1.0.0.jar,androidx.activity.activity,1.0.0
androidx.activity.activity-1.1.0.jar,androidx.activity.activity,1.1.0
androidx.activity.activity-1.2.2.jar,androidx.activity.activity,1.2.2
androidx.activity.activity-1.2.3.jar,androidx.activity.activity,1.2.3
androidx.activity.activity-1.2.4.jar,androidx.activity.activity,1.2.4
androidx.activity.activity-1.4.0.jar,androidx.activity.activity,1.4.0
androidx.activity.activity-1.5.0.jar,androidx.activity.activity,1.5.0
androidx.activity.activity-1.5.1.jar,androidx.activity.activity,1.5.1
androidx.activity.activity-1.6.0.jar,androidx.activity.activity,1.6.0
androidx.activity.activity-1.6.1.jar,androidx.activity.activity,1.6.1
androidx.activity.activity-compose-1.6.1.jar,androidx.activity.activity-compose,1.6.1
androidx.activity.activity-ktx-1.1.0.jar,androidx.activity.activity-ktx,1.1.0
androidx.activity.activity-ktx-1.2.2.jar,androidx.activity.activity-ktx,1.2.2
androidx.activity.activity-ktx-1.6.0.jar,androidx.activity.activity-ktx,1.6.0
androidx.activity.activity-ktx-1.6.1.jar,androidx.activity.activity-ktx,1.6.1
androidx.annotation.annotation-experimental-1.0.0.jar,androidx.annotation.annotation-experimental,1.0.0
androidx.annotation.annotation-experimental-1.1.0.jar,androidx.annotation.annotation-experimental,1.1.0
androidx.annotation.annotation-experimental-1.3.0.jar,androidx.annotation.annotation-experimental,1.3.0
androidx.appcompat.appcompat-1.0.0.jar,androidx.appcompat.appcompat,1.0.0
androidx.appcompat.appcompat-1.1.0.jar,androidx.appcompat.appcompat,1.1.0
androidx.appcompat.appcompat-1.2.0.jar,androidx.appcompat.appcompat,1.2.0
androidx.appcompat.appcompat-1.3.0.jar,androidx.appcompat.appcompat,1.3.0
androidx.appcompat.appcompat-1.3.1.jar,androidx.appcompat.appcompat,1.3.1
androidx.appcompat.appcompat-1.4.1.jar,androidx.appcompat.appcompat,1.4.1
androidx.appcompat.appcompat-1.4.2.jar,androidx.appcompat.appcompat,1.4.2
androidx.appcompat.appcompat-1.5.0.jar,androidx.appcompat.appcompat,1.5.0
androidx.appcompat.appcompat-1.5.1.jar,androidx.appcompat.appcompat,1.5.1
androidx.appcompat.appcompat-1.6.1.jar,androidx.appcompat.appcompat,1.6.1
androidx.appcompat.appcompat-resources-1.1.0.jar,androidx.appcompat.appcompat-resources,1.1.0
androidx.appcompat.appcompat-resources-1.2.0.jar,androidx.appcompat.appcompat-resources,1.2.0
androidx.appcompat.appcompat-resources-1.3.0.jar,androidx.appcompat.appcompat-resources,1.3.0
androidx.appcompat.appcompat-resources-1.3.1.jar,androidx.appcompat.appcompat-resources,1.3.1
androidx.appcompat.appcompat-resources-1.4.1.jar,androidx.appcompat.appcompat-resources,1.4.1
androidx.appcompat.appcompat-resources-1.4.2.jar,androidx.appcompat.appcompat-resources,1.4.2
androidx.appcompat.appcompat-resources-1.5.0.jar,androidx.appcompat.appcompat-resources,1.5.0
androidx.appcompat.appcompat-resources-1.5.1.jar,androidx.appcompat.appcompat-resources,1.5.1
androidx.appcompat.appcompat-resources-1.6.1.jar,androidx.appcompat.appcompat-resources,1.6.1
androidx.arch.core.core-runtime-2.0.0.jar,androidx.arch.core.core-runtime,2.0.0
androidx.arch.core.core-runtime-2.1.0.jar,androidx.arch.core.core-runtime,2.1.0
androidx.arch.core.core-runtime-2.2.0.jar,androidx.arch.core.core-runtime,2.2.0
androidx.asynclayoutinflater.asynclayoutinflater-1.0.0.jar,androidx.asynclayoutinflater.asynclayoutinflater,1.0.0
androidx.browser.browser-1.2.0.jar,androidx.browser.browser,1.2.0
androidx.browser.browser-1.3.0.jar,androidx.browser.browser,1.3.0
androidx.browser.browser-1.4.0.jar,androidx.browser.browser,1.4.0
androidx.browser.browser-1.5.0.jar,androidx.browser.browser,1.5.0
androidx.cardview.cardview-1.0.0.jar,androidx.cardview.cardview,1.0.0
androidx.compose.animation.animation-1.3.2.jar,androidx.compose.animation.animation,1.3.2
androidx.compose.animation.animation-core-1.3.2.jar,androidx.compose.animation.animation-core,1.3.2
androidx.compose.foundation.foundation-1.2.0.jar,androidx.compose.foundation.foundation,1.2.0
androidx.compose.foundation.foundation-layout-1.2.0.jar,androidx.compose.foundation.foundation-layout,1.2.0
androidx.compose.material.material-1.3.1.jar,androidx.compose.material.material,1.3.1
androidx.compose.material.material-icons-core-1.3.1.jar,androidx.compose.material.material-icons-core,1.3.1
androidx.compose.material.material-ripple-1.3.1.jar,androidx.compose.material.material-ripple,1.3.1
androidx.compose.runtime.runtime-1.2.0.jar,androidx.compose.runtime.runtime,1.2.0
androidx.compose.runtime.runtime-saveable-1.2.0.jar,androidx.compose.runtime.runtime-saveable,1.2.0
androidx.compose.ui.ui-1.2.0.jar,androidx.compose.ui.ui,1.2.0
androidx.compose.ui.ui-geometry-1.2.0.jar,androidx.compose.ui.ui-geometry,1.2.0
androidx.compose.ui.ui-graphics-1.2.0.jar,androidx.compose.ui.ui-graphics,1.2.0
androidx.compose.ui.ui-text-1.2.0.jar,androidx.compose.ui.ui-text,1.2.0
androidx.compose.ui.ui-unit-1.2.0.jar,androidx.compose.ui.ui-unit,1.2.0
androidx.constraintlayout.constraintlayout-1.1.3.jar,androidx.constraintlayout.constraintlayout,1.1.3
androidx.constraintlayout.constraintlayout-2.0.0-beta3.jar,androidx.constraintlayout.constraintlayout,2.0.0-beta3
androidx.constraintlayout.constraintlayout-2.0.1.jar,androidx.constraintlayout.constraintlayout,2.0.1
androidx.constraintlayout.constraintlayout-2.0.2.jar,androidx.constraintlayout.constraintlayout,2.0.2
androidx.constraintlayout.constraintlayout-2.0.4.jar,androidx.constraintlayout.constraintlayout,2.0.4
androidx.constraintlayout.constraintlayout-2.1.0.jar,androidx.constraintlayout.constraintlayout,2.1.0
androidx.constraintlayout.constraintlayout-2.1.1.jar,androidx.constraintlayout.constraintlayout,2.1.1
androidx.constraintlayout.constraintlayout-2.1.3.jar,androidx.constraintlayout.constraintlayout,2.1.3
androidx.constraintlayout.constraintlayout-2.1.4.jar,androidx.constraintlayout.constraintlayout,2.1.4
androidx.constraintlayout.constraintlayout-compose-1.0.1.jar,androidx.constraintlayout.constraintlayout-compose,1.0.1
androidx.coordinatorlayout.coordinatorlayout-1.0.0.jar,androidx.coordinatorlayout.coordinatorlayout,1.0.0
androidx.coordinatorlayout.coordinatorlayout-1.1.0.jar,androidx.coordinatorlayout.coordinatorlayout,1.1.0
androidx.coordinatorlayout.coordinatorlayout-1.2.0.jar,androidx.coordinatorlayout.coordinatorlayout,1.2.0
androidx.core.core-1.0.0.jar,androidx.core.core,1.0.0
androidx.core.core-1.1.0.jar,androidx.core.core,1.1.0
androidx.core.core-1.3.0.jar,androidx.core.core,1.3.0
androidx.core.core-1.3.1.jar,androidx.core.core,1.3.1
androidx.core.core-1.5.0.jar,androidx.core.core,1.5.0
androidx.core.core-1.6.0.jar,androidx.core.core,1.6.0
androidx.core.core-1.7.0.jar,androidx.core.core,1.7.0
androidx.core.core-1.8.0.jar,androidx.core.core,1.8.0
androidx.core.core-1.9.0.jar,androidx.core.core,1.9.0
androidx.core.core-ktx-1.1.0.jar,androidx.core.core-ktx,1.1.0
androidx.core.core-ktx-1.3.1.jar,androidx.core.core-ktx,1.3.1
androidx.core.core-ktx-1.3.2.jar,androidx.core.core-ktx,1.3.2
androidx.core.core-ktx-1.6.0.jar,androidx.core.core-ktx,1.6.0
androidx.core.core-ktx-1.8.0.jar,androidx.core.core-ktx,1.8.0
androidx.core.core-ktx-1.9.0.jar,androidx.core.core-ktx,1.9.0
androidx.cursoradapter.cursoradapter-1.0.0.jar,androidx.cursoradapter.cursoradapter,1.0.0
androidx.customview.customview-1.0.0.jar,androidx.customview.customview,1.0.0
androidx.customview.customview-1.1.0.jar,androidx.customview.customview,1.1.0
androidx.databinding.viewbinding-4.0.1.jar,androidx.databinding.viewbinding,4.0.1
androidx.databinding.viewbinding-4.1.1.jar,androidx.databinding.viewbinding,4.1.1
androidx.databinding.viewbinding-4.2.2.jar,androidx.databinding.viewbinding,4.2.2
androidx.databinding.viewbinding-7.0.0.jar,androidx.databinding.viewbinding,7.0.0
androidx.databinding.viewbinding-7.1.2.jar,androidx.databinding.viewbinding,7.1.2
androidx.databinding.viewbinding-7.2.2.jar,androidx.databinding.viewbinding,7.2.2
androidx.databinding.viewbinding-7.3.1.jar,androidx.databinding.viewbinding,7.3.1
androidx.datastore.datastore-1.0.0.jar,androidx.datastore.datastore,1.0.0
androidx.datastore.datastore-preferences-1.0.0.jar,androidx.datastore.datastore-preferences,1.0.0
androidx.documentfile.documentfile-1.0.0.jar,androidx.documentfile.documentfile,1.0.0
androidx.documentfile.documentfile-1.0.1.jar,androidx.documentfile.documentfile,1.0.1
androidx.drawerlayout.drawerlayout-1.0.0.jar,androidx.drawerlayout.drawerlayout,1.0.0
androidx.drawerlayout.drawerlayout-1.1.0.jar,androidx.drawerlayout.drawerlayout,1.1.0
androidx.drawerlayout.drawerlayout-1.1.1.jar,androidx.drawerlayout.drawerlayout,1.1.1
androidx.drawerlayout.drawerlayout-1.2.0-rc01.jar,androidx.drawerlayout.drawerlayout,1.2.0-rc01
androidx.dynamicanimation.dynamicanimation-1.0.0.jar,androidx.dynamicanimation.dynamicanimation,1.0.0
androidx.exifinterface.exifinterface-1.0.0.jar,androidx.exifinterface.exifinterface,1.0.0
androidx.exifinterface.exifinterface-1.3.3.jar,androidx.exifinterface.exifinterface,1.3.3
androidx.fragment.fragment-1.0.0.jar,androidx.fragment.fragment,1.0.0
androidx.fragment.fragment-1.1.0.jar,androidx.fragment.fragment,1.1.0
androidx.fragment.fragment-1.2.4.jar,androidx.fragment.fragment,1.2.4
