original_filename,tpl_name,version
achartengine-1.2.0.jar,achartengine,1.2.0
acra-4.5.0.jar,acra,4.5.0
acra-4.6.2.jar,acra,4.6.2
ch.acra.acra.4.9.0.jar,acra,4.9.0
android-async-http-1.4.9.jar,android-async-http,1.4.9
android-integration-3.2.1.jar,android-integration,3.2.1
android-json-rpc-0.3.4.jar,android-json-rpc,0.3.4
android-retention-magic-1.2.2.jar,android-retention-magic,1.2.2
android-xml-magic-0.1.1.jar,android-xml-magic,0.1.1
androidannotations-api-2.7.jar,androidannotations-api,2.7
androidannotations-api-3.3.2.jar,androidannotations-api,3.3.2
androidannotations-api-3.2.jar,androidannotations-api,3.2
annotations-java5-15.0.jar,annotations-java5,15.0
apache-mime4j-core-0.7.2.jar,apache-mime4j-core,0.7.2
apktool-lib-1.4.4-3.jar,apktool-lib,1.4.4-3
butterknife-6.0.0.jar,butterknife,6.0.0
butterknife-7.0.0.jar,butterknife,7.0.0
butterknife-7.0.1.jar,butterknife,7.0.1
butterknife-annotations-8.0.1.jar,butterknife,8.0.1
cat.ereza.customactivityoncrash.1.4.0.jar,cat.ereza.customactivityoncrash,1.4.0
com.actionbarsherlock.actionbarsherlock.4.4.0.jar,com.actionbarsherlock.actionbarsherlock,4.4.0
com.afollestad.material-dialogs.v0.7.7.0.jar,com.afollestad.material-dialogs,v0.7.7.0
com.afollestad.material-dialogs.core.0.8.5.1.jar,com.afollestad.material-dialogs,0.8.5.1
com.amulyakhare.com.amulyakhare.textdrawable.1.0.1.jar,com.amulyakhare.com.amulyakhare.textdrawable,1.0.1
com.android.support.animated-vector-drawable.23.2.1.jar,com.android.support.animated-vector-drawable,23.2.1
com.android.support.animated-vector-drawable.23.2.0.jar,com.android.support.animated-vector-drawable,23.2.0
com.android.support.animated-vector-drawable.23.4.0.jar,com.android.support.animated-vector-drawable,23.4.0
com.android.support.animated-vector-drawable.23.3.0.jar,com.android.support.animated-vector-drawable,23.3.0
com.android.support.animated-vector-drawable.24.0.0-beta1.jar,com.android.support.animated-vector-drawable,24.0.0-beta1
com.android.support.animated-vector-drawable.24.0.0.jar,com.android.support.animated-vector-drawable,24.0.0
com.android.support.appcompat-v7.23.1.1.jar,com.android.support.appcompat-v7,23.1.1
com.android.support.appcompat-v7.20.0.0.jar,com.android.support.appcompat-v7,20.0.0
com.android.support.appcompat-v7.23.1.0.jar,com.android.support.appcompat-v7,23.1.0
com.android.support.appcompat-v7.23.3.0.jar,com.android.support.appcompat-v7,23.3.0
com.android.support.appcompat-v7.21.0.2.jar,com.android.support.appcompat-v7,21.0.2
com.android.support.appcompat-v7.21.0.3.jar,com.android.support.appcompat-v7,21.0.3
com.android.support.appcompat-v7.22.1.1.jar,com.android.support.appcompat-v7,22.1.1
com.android.support.appcompat-v7.21.0.0.jar,com.android.support.appcompat-v7,21.0.0
com.android.support.appcompat-v7.23.2.0.jar,com.android.support.appcompat-v7,23.2.0
com.android.support.appcompat-v7.23.2.1.jar,com.android.support.appcompat-v7,23.2.1
com.android.support.appcompat-v7.23.0.1.jar,com.android.support.appcompat-v7,23.0.1
com.android.support.appcompat-v7.23.0.0.jar,com.android.support.appcompat-v7,23.0.0
com.android.support.appcompat-v7.23.4.0.jar,com.android.support.appcompat-v7,23.4.0
com.android.support.appcompat-v7.22.0.0.jar,com.android.support.appcompat-v7,22.0.0
com.android.support.appcompat-v7.22.2.0.jar,com.android.support.appcompat-v7,22.2.0
com.android.support.appcompat-v7.22.2.1.jar,com.android.support.appcompat-v7,22.2.1
com.android.support.appcompat-v7.24.0.0.jar,com.android.support.appcompat-v7,24.0.0
com.android.support.appcompat-v7.24.0.0-beta1.jar,com.android.support.appcompat-v7,24.0.0-beta1
com.android.support.cardview-v7.23.4.0.jar,com.android.support.cardview-v7,23.4.0
com.android.support.cardview-v7.22.2.1.jar,com.android.support.cardview-v7,22.2.1
com.android.support.cardview-v7.22.2.0.jar,com.android.support.cardview-v7,22.2.0
com.android.support.cardview-v7.23.2.1.jar,com.android.support.cardview-v7,23.2.1
com.android.support.cardview-v7.23.2.0.jar,com.android.support.cardview-v7,23.2.0
com.android.support.cardview-v7.21.0.3.jar,com.android.support.cardview-v7,21.0.3
com.android.support.cardview-v7.21.0.2.jar,com.android.support.cardview-v7,21.0.2
com.android.support.cardview-v7.23.1.0.jar,com.android.support.cardview-v7,23.1.0
com.android.support.cardview-v7.24.0.0-alpha1.jar,com.android.support.cardview-v7,24.0.0-alpha1
com.android.support.cardview-v7.23.1.1.jar,com.android.support.cardview-v7,23.1.1
com.android.support.cardview-v7.23.3.0.jar,com.android.support.cardview-v7,23.3.0
com.android.support.customtabs.23.4.0.jar,com.android.support.customtabs,23.4.0
com.android.support.design.24.0.0.jar,com.android.support.design,24.0.0
com.android.support.design.23.2.1.jar,com.android.support.design,23.2.1
com.android.support.design.23.2.0.jar,com.android.support.design,23.2.0
com.android.support.design.23.0.1.jar,com.android.support.design,23.0.1
com.android.support.design.23.4.0.jar,com.android.support.design,23.4.0
com.android.support.design.22.2.1.jar,com.android.support.design,22.2.1
com.android.support.design.22.2.0.jar,com.android.support.design,22.2.0
com.android.support.design.23.1.0.jar,com.android.support.design,23.1.0
com.android.support.design.23.1.1.jar,com.android.support.design,23.1.1
com.android.support.design.23.3.0.jar,com.android.support.design,23.3.0
com.android.support.gridlayout-v7.18.0.0.jar,com.android.support.gridlayout-v7,18.0.0
com.android.support.multidex.1.0.1.jar,com.android.support.multidex,1.0.1
com.android.support.palette-v7.23.0.0.jar,com.android.support.palette-v7,23.0.0
com.android.support.palette-v7.23.4.0.jar,com.android.support.palette-v7,23.4.0
com.android.support.palette-v7.21.0.3.jar,com.android.support.palette-v7,21.0.3
com.android.support.percent.23.4.0.jar,com.android.support.percent,23.4.0
com.android.support.preference-v14.23.4.0.jar,com.android.support.preference-v14,23.4.0
com.android.support.preference-v14.24.0.0.jar,com.android.support.preference-v14,24.0.0
com.android.support.preference-v7.23.1.0.jar,com.android.support.preference-v7,23.1.0
com.android.support.preference-v7.23.1.1.jar,com.android.support.preference-v7,23.1.1
com.android.support.preference-v7.23.0.1.jar,com.android.support.preference-v7,23.0.1
com.android.support.preference-v7.23.2.1.jar,com.android.support.preference-v7,23.2.1
