original_filename,tpl_name,version
adcolony-4.1.4.jar,adcolony,4.1.4
adcolony-4.5.0.jar,adcolony,4.5.0
adcolony-4.8.0.jar,adcolony,4.8.0
adjust-android-4.24.1.jar,adjust,4.24.1
adjust-android-4.28.2.jar,adjust,4.28.2
adjust-android-4.33.0.jar,adjust,4.33.0
adjust-android-4.33.5.jar,adjust,4.33.5
adjust-android-5.0.1.jar,adjust,5.0.1
adjust-android-5.1.0.jar,adjust,5.1.0
adjust-android-5.5.1.jar,adjust,5.5.1
amazon-ads-11.1.1.aar,amazon-ads,11.1.1
amazon-ads-11.1.2.aar,amazon-ads,11.1.2
amazon-ads-9.10.3.aar,amazon-ads,9.10.3
amazon-ads-9.2.2.aar,amazon-ads,9.2.2
amazon-ads-9.6.2.aar,amazon-ads,9.6.2
amazon-ads-9.8.8.aar,amazon-ads,9.8.8
applovin-10.3.3.aar,applovin,10.3.3
applovin-11.5.3.aar,applovin,11.5.3
applovin-12.1.0.aar,applovin,12.1.0
applovin-12.5.0.aar,applovin,12.5.0
applovin-13.1.0.aar,applovin,13.1.0
applovin-13.6.0.aar,applovin,13.6.0
appsflyer-5.4.0.aar,appsflyer,5.4.0
appsflyer-6.12.2.aar,appsflyer,6.12.2
appsflyer-6.13.0.aar,appsflyer,6.13.0
appsFlyer-6.17.0.jar,appsflyer,6.17.0
appsflyer-6.3.2.aar,appsflyer,6.3.2
appsflyer-6.9.4.aar,appsflyer,6.9.4
charboost-8.1.0.aar,charboost,8.1.0
charboost-8.4.3.aar,charboost,8.4.3
charboost-9.5.0.aar,charboost,9.5.0
charboost-9.7.0.aar,charboost,9.7.0
charboost-9.8.3.aar,charboost,9.8.3
facebook_analytics-11.2.0.aar,facebook_analytics,11.2.0
facebook_analytics-12.3.0.aar,facebook_analytics,12.3.0
facebook_analytics-16.2.0.aar,facebook_analytics,16.2.0
facebook_analytics-17.0.0.aar,facebook_analytics,17.0.0
facebook_analytics-18.1.3.aar,facebook_analytics,18.1.3
facebook_analytics-7.1.0.aar,facebook_analytics,7.1.0
facebook_analytics-7.0.1.aar,facebook_analytics,7.0.1
facebook_login-11.2.0.aar,facebook_login,11.2.0
facebook_login-14.0.0.aar,facebook_login,14.0.0
facebook_login-16.2.0.aar,facebook_login,16.2.0
facebook_login-17.0.2.aar,facebook_login,17.0.2
facebook_login-18.1.3.aar,facebook_login,18.1.3
facebook_login-7.1.0.aar,facebook_login,7.1.0
facebook-places-7.1.0.aar,facebook_places,7.1.0
facebook-share-12.0.0.aar,facebook_share,12.0.0
facebook-share-13.2.0.aar,facebook_share,13.2.0
facebook-share-16.2.0.aar,facebook_share,16.2.0
facebook-share-17.0.0.aar,facebook_share,17.0.0
facebook-share-18.0.1.aar,facebook_share,18.0.1
facebook-share-8.2.0.aar,facebook_share,8.2.0
facebook-sdk-14.1.0.aar,facebook-sdk,14.1.0
facebook-sdk-16.0.0.aar,facebook-sdk,16.0.0
facebook-sdk-17.0.1.aar,facebook-sdk,17.0.1
facebook-sdk-18.1.3.aar,facebook-sdk,18.1.3
facebook-sdk-7.1.0.aar,facebook-sdk,7.1.0
facebook-sdk-9.1.0.aar,facebook-sdk,9.1.0
firebase-database-19.6.0.aar,google_firebase,19.6.0
firebase-database-20.0.0.aar,google_firebase,20.0.0
firebase-database-20.0.5.aar,google_firebase,20.0.5
firebase-database-20.3.0.aar,google_firebase,20.3.0
firebase-database-21.0.0.aar,google_firebase,21.0.0
firebase-database-22.0.1.aar,google_firebase,22.0.1
firebase-auth-22.0.0.aar,google_firebase,22.0.0
firebase-auth-20.0.1.aar,google_firebase,20.0.1
firebase-auth-21.0.1.aar,google_firebase,21.0.1
firebase-auth-21.1.0.aar,google_firebase,21.1.0
firebase-auth-23.0.0.aar,google_firebase,23.0.0
firebase-auth-24.0.1.aar,google_firebase,24.0.1
firebase-components-16.1.0.aar,google_firebase,16.1.0
firebase-components-17.0.0.aar,google_firebase,17.0.0
firebase-components-17.0.1.aar,google_firebase,17.0.1
firebase-components-17.1.5.aar,google_firebase,17.1.5
firebase-components-18.0.0.aar,google_firebase,18.0.0
